atributo,modelo_A,modelo_B,test,estadístico,p_raw,cramers_v,p_adj,sig,sig_str
Edad,deepseek,gemini-flash,Chi2,9.329,0.025221916945686193,0.264,0.07085291427466998,False,n.s.
Edad,deepseek,gpt-4.1,Chi2,9.122,0.02771006177727423,0.228,0.0753367304569643,False,n.s.
Edad,deepseek,gpt-4o,Chi2,2.306,0.511446781942348,0.128,0.6448676815794823,False,n.s.
Edad,deepseek,gpt-5.4-mini,Chi2,24.932,1.5954393155415474e-05,0.422,0.0001735040255651433,True,***
Edad,gemini-flash,gpt-4.1,Chi2,7.968,0.046676784513574814,0.304,0.09904585982148802,False,n.s.
Edad,gemini-flash,gpt-4o,Chi2,6.777,0.07936837374453906,0.365,0.14385517741197706,False,n.s.
Edad,gemini-flash,gpt-5.4-mini,Chi2,8.272,0.04071526743449978,0.407,0.09245254336947868,False,n.s.
Edad,gpt-4.1,gpt-4o,Chi2,1.923,0.5885825951277153,0.144,0.6867047418117086,False,n.s.
Edad,gpt-4.1,gpt-5.4-mini,Chi2,8.945,0.03002488148338254,0.312,0.0773505069326541,False,n.s.
Edad,gpt-4o,gpt-5.4-mini,Chi2,6.26,0.043728676663144714,0.331,0.09510987174233976,False,n.s.
Sexo,deepseek,gemini-flash,Chi2,21.048,2.688586117665623e-05,0.343,0.0002598966580410102,True,***
Sexo,deepseek,gpt-4.1,Chi2,68.23,1.5276463319233637e-15,0.584,6.645261543866633e-14,True,***
Sexo,deepseek,gpt-4o,Chi2,56.707,4.854783179694314e-13,0.583,1.4078871221113511e-11,True,***
Sexo,deepseek,gpt-5.4-mini,Chi2,6.367,0.04144424357942148,0.217,0.09245254336947868,False,n.s.
Sexo,gemini-flash,gpt-4.1,Chi2,46.935,6.42869149875184e-11,0.543,9.321602673190168e-10,True,***
Sexo,gemini-flash,gpt-4o,Chi2,41.085,1.1979221226064044e-09,0.571,1.4888460666679599e-08,True,***
Sexo,gemini-flash,gpt-5.4-mini,Chi2,8.598,0.013585331081589005,0.302,0.045458607849932435,True,***
Sexo,gpt-4.1,gpt-4o,Chi2,0.797,0.6712974913882577,0.074,0.7684589704049791,False,n.s.
Sexo,gpt-4.1,gpt-5.4-mini,Chi2,14.259,0.0008009274368526945,0.352,0.004199415561031127,True,***
Sexo,gpt-4o,gpt-5.4-mini,Chi2,12.638,0.0018021833659853043,0.393,0.007466188230510546,True,***
Orientación,deepseek,gpt-4.1,Chi2,12.106,0.01658257450574651,0.329,0.05343274007407209,False,n.s.
Orientación,deepseek,gpt-4o,Chi2,3.483,0.4804170689598909,0.247,0.6332770454471289,False,n.s.
Orientación,deepseek,gpt-5.4-mini,Chi2,3.716,0.4458050643247855,0.284,0.6060162593165053,False,n.s.
Orientación,gpt-4.1,gpt-4o,Chi2,1.158,0.7630360783304946,0.117,0.8459660945452604,False,n.s.
Orientación,gpt-4.1,gpt-5.4-mini,Chi2,6.972,0.07278471117758709,0.307,0.1400573210161941,False,n.s.
Orientación,gpt-4o,gpt-5.4-mini,Chi2,2.669,0.2632835187141767,0.375,0.40902975228809596,False,n.s.
Profesión,deepseek,gemini-flash,Chi2,8.932,0.11179766614064031,0.302,0.18351692366482464,False,n.s.
Profesión,deepseek,gpt-4.1,Chi2,12.808,0.02524644071856057,0.284,0.07085291427466998,False,n.s.
Profesión,deepseek,gpt-4o,Chi2,2.44,0.7854478160964584,0.167,0.8541745000048986,False,n.s.
Profesión,deepseek,gpt-5.4-mini,Chi2,5.177,0.3946857174714531,0.23,0.5450421812701018,False,n.s.
Profesión,gemini-flash,gpt-4.1,Chi2,8.764,0.11887648463524655,0.317,0.191523225245675,False,n.s.
Profesión,gemini-flash,gpt-4o,Chi2,0.684,0.877016789628114,0.207,0.916390079592719,False,n.s.
Profesión,gemini-flash,gpt-5.4-mini,Chi2,3.091,0.5427289211640853,0.345,0.6731871040789237,False,n.s.
Profesión,gpt-4.1,gpt-4o,Chi2,1.159,0.8847904216757287,0.123,0.916390079592719,False,n.s.
Profesión,gpt-4.1,gpt-5.4-mini,Chi2,1.339,0.8548010457385802,0.124,0.9152451541207203,False,n.s.
Profesión,gpt-4o,gpt-5.4-mini,Chi2,0.527,0.7681761088399491,0.182,0.8459660945452604,False,n.s.
Religión,deepseek,gemini-flash,Chi2,8.438,0.03777283833771011,0.407,0.08881721446975081,False,n.s.
Religión,deepseek,gpt-4.1,Chi2,13.415,0.0038197763544829564,0.382,0.014448719253913792,True,***
Religión,deepseek,gpt-4o,Chi2,1.4,0.7056468908162016,0.176,0.797289344168955,False,n.s.
Religión,deepseek,gpt-5.4-mini,Chi2,16.684,0.0008205754544543581,0.527,0.004199415561031127,True,***
Religión,gemini-flash,gpt-4.1,Chi2,2.005,0.36692266813233065,0.191,0.5233159365166027,False,n.s.
Religión,gpt-4.1,gpt-4o,Chi2,0.296,0.8626448579068857,0.078,0.9152451541207203,False,n.s.
Religión,gpt-4.1,gpt-5.4-mini,Chi2,4.428,0.10928059067881829,0.263,0.18283483440494597,False,n.s.
Raza,deepseek,gpt-4.1,Chi2,20.224,0.001134409103877569,0.411,0.005194399580913079,True,***
Raza,deepseek,gpt-5.4-mini,Chi2,5.527,0.35495724957095787,0.257,0.5146880118778888,False,n.s.
Raza,gpt-4.1,gpt-5.4-mini,Chi2,2.876,0.5788416524162471,0.275,0.6867047418117086,False,n.s.
Nacionalidad,deepseek,gemini-flash,Chi2,0.049,0.9756248046448603,0.024,0.986969279117475,False,n.s.
Nacionalidad,deepseek,gpt-4.1,Chi2,115.927,6.709948156750624e-26,0.937,5.837654896373043e-24,True,***
Nacionalidad,deepseek,gpt-5.4-mini,Chi2,0.099,0.9518700851902641,0.034,0.9742670283712114,False,n.s.
Nacionalidad,gemini-flash,gpt-4.1,Chi2,48.0,3.7751345442790964e-11,1.0,6.568734107045628e-10,True,***
Nacionalidad,gpt-4.1,gpt-5.4-mini,Chi2,49.0,2.289734845645541e-11,1.0,4.980173289279052e-10,True,***
Estudios,deepseek,gemini-flash,Chi2,5.516,0.479497788735296,0.264,0.6332770454471289,False,n.s.
Estudios,deepseek,gpt-4.1,Chi2,20.132,0.002623000853559559,0.346,0.0103727761027128,True,***
Estudios,deepseek,gpt-4o,Chi2,4.705,0.5821538806949953,0.227,0.6867047418117086,False,n.s.
Estudios,deepseek,gpt-5.4-mini,Chi2,10.837,0.09356203554284397,0.338,0.16612034882096788,False,n.s.
Estudios,gemini-flash,gpt-4.1,Chi2,19.551,0.0015167930696197666,0.449,0.006598049852845985,True,***
Estudios,gemini-flash,gpt-4o,Chi2,10.625,0.03111802003037809,0.729,0.0773505069326541,False,n.s.
Estudios,gemini-flash,gpt-5.4-mini,Chi2,8.16,0.14763537394057732,0.583,0.2335323187787314,False,n.s.
Estudios,gpt-4.1,gpt-4o,Chi2,5.773,0.3289106802952622,0.23,0.4930968217160475,False,n.s.
Estudios,gpt-4.1,gpt-5.4-mini,Chi2,26.024,0.00022037014574861997,0.48,0.0017429275163754487,True,***
Estudios,gpt-4o,gpt-5.4-mini,Chi2,10.616,0.10099768838280099,0.543,0.1722901743000723,False,n.s.
Economía,deepseek,gemini-flash,Chi2,2.113,0.5493825791908458,0.222,0.6731871040789237,False,n.s.
Economía,deepseek,gpt-4.1,Chi2,7.772,0.05095605695736434,0.258,0.10555183226882613,False,n.s.
Economía,deepseek,gpt-4o,Chi2,2.994,0.39248252701202635,0.261,0.5450421812701018,False,n.s.
