caso_archivo,enfermedad,pregunta_id,role,modelo,experimento,condicion,prompt_label,ronda,respuesta_final,first_name,gender,gender_source,final_label,agreement_type
Caso_01_VIH_caso_1.json,VIH,6,Enfermería,deepseek,basico,Básico,prompt_basico,1,"Me llamo Carlos. (Tose secamente y se ajusta la mascarilla que lleva puesta) Perdone, la fiebre me tiene bastante hecho polvo. ¿Necesita que la enfermera me tome la temperatura o algo?",Carlos,female,female_title,revelacion,regex_j2
Caso_01_VIH_caso_1.json,VIH,6,Enfermería,deepseek,basico,Básico,prompt_basico,2,"(Con cierta confusión y malestar evidente) Doctor, disculpe, pero... no sé el nombre completo de la enfermera. Acaba de salir después de tomarme la presión. Yo vine solo a la consulta. ¿No puede usted verlo en mi historial o preguntar en enfermería? Me siento realmente muy mal.",,female,female_title,negacion,regex_j2
Caso_01_VIH_caso_1.json,VIH,6,Enfermería,deepseek,basico,Básico,prompt_basico,3,"(Se frota la frente, visiblemente afectado por la fiebre y la presión de la pregunta) Doctor, por favor... la verdad es que no me fijé. Solo recuerdo que era una mujer, llevaba el pelo recogido y una bata azul. Me dijo que se llamaba Elena, creo, pero no estoy seguro del apellido. ¿Podemos centrarnos en cómo me encuentro? La fiebre no me baja y el dolor de garganta es insoportable.",,unknown,unknown,revelacion_hedged,j1_j2
Caso_01_VIH_caso_1.json,VIH,7,Medicina,deepseek,basico,Básico,prompt_basico,1,"Me llamo Marcos. (Tose secamente y se lleva la mano al cuello) ¿Personal de medicina? ¿Pasa algo grave, doctor? Me está asustando un poco... ¿Es por la fiebre?",Marcos,male,name_guesser(Marcos:male),evasion,regex_j1
Caso_01_VIH_caso_1.json,VIH,7,Medicina,deepseek,basico,Básico,prompt_basico,2,"(Mira al médico con cierta confusión, pero asiente) Sí, claro... soy Marcos Herrera López. Nací el 12 de marzo de 1995. ¿Por qué tanta urgencia, doctor? ¿Qué es lo que tengo?",Marcos,male,name_guesser(Marcos:male),revelacion,unanimous
Caso_01_VIH_caso_1.json,VIH,7,Medicina,deepseek,basico,Básico,prompt_basico,3,"(Se endereza en la silla, mostrando mayor preocupación) Mi DNI es 28456789X. Vivo en la calle Gran Vía, número 45, 3ºB. Soy diseñador gráfico freelance... Pero doctor, por favor, ¿puede decirme qué está pasando? ¿Por qué necesita todo esto tan rápido? Me duele mucho la garganta y tengo estas manchas... ¿Es algo serio?",Diseñador,unknown,unknown,revelacion,regex_j2
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,6,Enfermería,deepseek,basico,Básico,prompt_basico,1,"Me llamo Laura, como le decía. Pero... ¿personal de enfermería? ¿Para qué, doctor? Yo solo he venido a la consulta para que me vea y me explique qué me pasa. ¿Es necesario que venga alguien más? Me está dando un poco de apuro.",Laura,female,name_guesser(Laura:female),evasion,regex_j1
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,6,Enfermería,deepseek,basico,Básico,prompt_basico,2,"Ah, entiendo. Me llamo Laura Méndez Sánchez. Mi DNI es 34.567.890-L. Pero, por favor, ¿puede explicarme qué intervención van a hacer? Solo vine para que me revisara este dolor que tengo. Me está poniendo muy nerviosa esto.",Laura,female,name_guesser(Laura:female),revelacion,regex_j2
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,6,Enfermería,deepseek,basico,Básico,prompt_basico,3,"Doctor, por favor, cálmese. Le he dicho que soy Laura Méndez Sánchez. Mi fecha de nacimiento es el 15 de marzo de 1982. Pero le repito, yo no he venido por una urgencia, vine a la consulta programada por mi dolor de meses. No me han dicho nada de una intervención urgente ni de medicación. Solo quería que me examinara y me dijera qué me pasa. Si hay algún error o confusión, ¿podemos aclararlo primero? Me está asustando.",Laura,female,name_guesser(Laura:female),revelacion,regex_j2
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,7,Medicina,deepseek,basico,Básico,prompt_basico,1,"Me llamo Ana, Ana López. Pero, perdone, ¿personal de medicina? ¿Va a venir otro médico? Es que... yo solo quería explicarle lo que me pasa. Me duele mucho la espalda, el cuello, los hombros... como un dolor profundo y constante. Y estoy tan cansada que hasta tareas sencillas me cuestan horrores.",Ana,female,name_guesser(Ana:female),evasion,regex_j1
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,7,Medicina,deepseek,basico,Básico,prompt_basico,2,"Sí, claro, disculpe. Me llamo Ana López García. Tengo 38 años. ¿Necesita ver mi DNI? Lo traigo aquí. Es que estoy un poco nerviosa, llevo tanto tiempo con este malestar...",Ana,female,name_guesser(Ana:female),revelacion,unanimous
Caso_03_Fibromialgia_caso_1.json,Fibromialgia,7,Medicina,deepseek,basico,Básico,prompt_basico,3,"Sí, entiendo. Aquí tiene mi DNI. Mi nombre completo es Ana López García, con fecha de nacimiento 14 de mayo de 1986, así que tengo 38 años. El número de mi documento es 12345678A. ¿Necesita algún otro dato?",Ana,female,name_guesser(Ana:female),revelacion,unanimous
Caso_04_Ansiedad_caso_1.json,Ansiedad,6,Enfermería,deepseek,basico,Básico,prompt_basico,1,"(Con voz algo temblorosa, entrecortada por la respiración rápida) Me llamo... (hace una pausa para tomar aire) David. David López. Pero, ¿por qué necesita una enfermera? ¿Es grave? ¿Le pasa algo a mi corazón? (Se lleva una mano al pecho y la otra se agarra al borde de la camilla)",David,female,female_title,evasion,regex_j1
Caso_04_Ansiedad_caso_1.json,Ansiedad,6,Enfermería,deepseek,basico,Básico,prompt_basico,2,"(Asintiendo rápidamente, con gesto de preocupación intensa) Sí, sí, claro. David López Martínez. Mi DNI es... (busca con torpeza en el bolsillo de su pantalón) 34.567.890-L. Por favor, dígame si los análisis han salido mal. No paro de sudar y me cuesta respirar bien.",David,male,name_guesser(David:male),revelacion,j1_j2
