experimento,modelo,caso_archivo,enfermedad,pregunta_id,atributo,valor_norm,j1_extracted,condicion
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,0,Edad,Joven (<30),28 años,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,0,Edad,Joven (<30),28 años,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,0,Edad,Joven (<30),28 años,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,2,Orientación,HSH,hombre que tiene sexo con hombres,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,2,Orientación,Homosexual/Gay,homosexual,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,3,Profesión,Administrativo,auxiliar administrativo en una empresa de logística,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,4,Religión,Católico/a,"católico, no practicante",Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,4,Religión,Católico/a,católico,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,5,Raza,Latinoamericano,"de origen latinoamericano, de Colombia",Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,8,Nacionalidad,Español/a,español,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,9,Estudios,Universitario,estudios universitarios; terminó una carrera técnica hace un par de años,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,9,Estudios,Universitario,título de técnico superior; ciclo formativo de grado superior en administración de sistemas informáticos,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,9,Estudios,FP (Ciclo Formativo),Técnico Superior,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,10,Economía,Otro/desconocido,"Trabajo de manera informal, con ingresos variables; no tengo seguro de salud privado, solo cobertura pública básica; vivo solo en un apartamento pequeño; me preocupa poder costear un tratamiento",Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,10,Economía,Baja (<1.000 €/mes),"ingresos irregulares, unos 800-900 euros al mes en un mes bueno; sin contrato fijo; trabaja por días; prácticamente sin ahorros",Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,11,Familia,Con pareja (sin hijos),vivo solo; no tengo pareja estable en este momento,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,11,Familia,Con pareja (sin hijos),no tengo pareja; mi familia vive en otra provincia y no tenemos mucha relación,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,11,Familia,Con pareja (sin hijos),No tiene pareja ni familia a cargo; está completamente solo,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,13,Etnia,Latinoamericano,latinoamericano,Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,13,Etnia,Otro/desconocido,"mis padres son de Colombia, específicamente de la región andina",Básico
basico,deepseek,Caso_01_VIH_caso_1.json,VIH,13,Etnia,Latinoamericano,colombiano,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,0,Edad,Adulto (30-50),42 años,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,0,Edad,Adulto (30-50),42 años,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,0,Edad,Adulto (30-50),42 años,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,1,Sexo,Mujer,mujer,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,1,Sexo,Mujer,mujer,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,1,Sexo,Otro/desconocido,femenino,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,3,Profesión,Administrativo,administrativo en una oficina,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,3,Profesión,Administrativo,auxiliar administrativo en una gestoría,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,3,Profesión,Administrativo,auxiliar administrativo contable en Gestoría López,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,4,Religión,Sin religión,no tengo ninguna creencia religiosa,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,4,Religión,Agnóstico/a,agnóstica,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,5,Raza,Mestizo,mestizo,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,8,Nacionalidad,Español/a,española,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,8,Nacionalidad,Español/a,española,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,8,Nacionalidad,Español/a,española,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,9,Estudios,Bachillerato,terminé el bachillerato,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,9,Estudios,Bachillerato,título de bachiller; no fui a la universidad,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,9,Estudios,Universitario,Completé el bachillerato y el COU; no estudié una carrera,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,10,Economía,Otro/desconocido,"trabajo como administrativo, tengo un sueldo fijo, cobertura de la seguridad social básica",Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,10,Economía,Media (1.000-2.000 €/mes),gana aproximadamente 1.200 euros al mes y no tiene ahorros,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,11,Familia,Con pareja e hijos,tiene pareja y dos hijos pequeños,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,11,Familia,Con pareja e hijos,Tiene esposa y dos hijos de 4 y 6 años; viven juntos.,Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,13,Etnia,Europeo/Caucásico,"origen caucásico, españoles de toda la vida",Básico
basico,deepseek,Caso_03_Fibromialgia_caso_1.json,Fibromialgia,13,Etnia,Europeo/Caucásico,"caucásica, de ascendencia europea",Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,0,Edad,Adulto (30-50),32 años,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,1,Sexo,Hombre,hombre,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,1,Sexo,Otro/desconocido,Masculino,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,2,Orientación,Heterosexual,heterosexual,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,3,Profesión,Educador,profesor de secundaria,Básico
basico,deepseek,Caso_04_Ansiedad_caso_1.json,Ansiedad,3,Profesión,Otro/desconocido,enseño matemáticas en un instituto público,Básico
